gene_name	chr	bp
RPL12P30	11	30368148
MPPED2-AS1	11	30584075
MPPED2	11	30584774
DCDC1	11	31184640
CYCSP25	11	31280987
DNAJC24	11	31369860
IMMP1L	11	31509603
ELP4	11	31509779
ELP4-AS1	11	31767875
PAX6	11	31810143
PAUPAR	11	31816516
LINC03031	11	32041332
EIF4A2P5	11	32085111
RCN1	11	32094072
THEM7P	11	32254395
WT1	11	32406439
WT1-AS	11	32435720
EIF3M	11	32583836
HNRNPA3P9	11	32592771
CCDC73	11	32794634
PRRG4	11	32829927
QSER1	11	32926340
DEPDC7	11	33015910
TCP11L1	11	33039908
LINC00294	11	33076149
PIGCP1	11	33076460
CSTF3	11	33161492
CSTF3-DT	11	33161653
RPL29P23	11	33190503
HIPK3	11	33257429
KIAA1549L	11	33376466
C11orf91	11	33700611
CD59	11	33736408
FBXO3	11	33774503
FBXO3-DT	11	33774698
SPICP1	11	33787795
LINC02721	11	33822378
LMO2	11	33870312
CAPRIN1	11	34052254
NAT10	11	34105671
MMADHCP2	11	34336003
ABTB2	11	34358007
CIR1P3	11	34430880
CAT	11	34438953
ELF5	11	34513779
LINC02707	11	34570876
EHF	11	34624250
APIP	11	34916381
PDHX	11	34916636
MIR1343	11	34941837
CD44-DT	11	35138981
CD44	11	35176634
CD44-AS1	11	35214985
SLC1A2-AS1	11	35238018
SLC1A2	11	35419003
SLC1A2-AS2	11	35419009
PAMR1	11	35525670
FJX1	11	35619074
TRIM44	11	35662774
KRT18P14	11	35861498
LDLRAD3	11	35944071
WEE2P1	11	35968676
RPL12P31	11	35997675
MIR3973	11	36010098
COMMD9	11	36289425
PRR5L	11	36376376
TRAF6	11	36510264
RAG1	11	36510709
IFTAP	11	36594523
RAG2	11	36598233
RPL7AP56	11	37725666
LINC02760	11	37938601
DNAAF11P1	11	38211389
LINC02759	11	38646369
LINC01493	11	38646487
RNU6-99P	11	39261107
LRRC4C	11	40294122
RNU6-365P	11	41123012
LINC02741	11	41713428
LINC01499	11	41717716
LINC02745	11	42085497
LINC02740	11	42253688
HNRNPKP3	11	43269409
API5	11	43311996
TTC17	11	43387697
RN7SKP287	11	43435397
PPIAP41	11	43466392
CTBP2P6	11	43522036
MIR670	11	43559656
MIR670HG	11	43576464
MIR129-2	11	43581394
HSD17B12	11	43680788
RPL23AP63	11	43718676
PHB1P2	11	43733759
ALKBH3	11	43881725
SEC14L1P1	11	43897456
ALKBH3-AS1	11	43920908
C11orf96	11	43942637
ACCSL	11	44047998
ACCS	11	44066523
EXT2	11	44095882
ALX4	11	44310139
RPL7AP79	11	44540693
CD82	11	44565667
CD82-AS1	11	44605337
RPL34P22	11	44629357
LINC02704	11	44701389
TSPAN18	11	44727174
TSPAN18-AS1	11	44736692
TP53I11	11	44950845
LINC02685	11	44973793
PRDM11	11	45147343
SYT13	11	45286067
LINC02687	11	45355473
CHST1	11	45665594
MIR7154	11	45691776
LINC02716	11	45771402
LINC02690	11	45771865
SLC35C1	11	45804213
CRY2	11	45847484
MAPK8IP1	11	45891100
FREY1	11	45907271
PEX16	11	45917877
LARGE2	11	45922685
PHF21A	11	46120961
FBLIM1P2	11	46142716
LINC02710	11	46219788
LINC02489	11	46274417
CREB3L1	11	46303020
DGKZ	11	46347550
MIR4688	11	46376402
MDK	11	46381680
CHRM4	11	46391776
MIR3160-2	11	46451807
MIR3160-1	11	46451889
AMBRA1	11	46594017
HARBI1	11	46617194
ATG13	11	46617569
ARHGAP1	11	46700601
ZNF408	11	46701031
F2	11	46719213
MIR5582	11	46753192
SNORD67	11	46762499
CKAP5	11	46846240
LRP4-AS1	11	46846400
LRP4	11	46904118
CSTPP1	11	46936773
ARFGAP2	11	47176869
MIR6745	11	47179737
PACSIN3	11	47185847
DDB2	11	47215042
ACP2	11	47248809
NR1H3	11	47257714
MADD	11	47270118
MADD-AS1	11	47272092
MYBPC3	11	47352702
SPI1	11	47378505
SLC39A13-AS1	11	47395772
MIR4487	11	47400970
SLC39A13	11	47408611
PSMC3	11	47426352
RAPSN	11	47449143
CELF1	11	47524632
RN7SL652P	11	47557833
PTPMT1	11	47565591
RNU5E-10P	11	47576588
KBTBD4	11	47578967
NDUFS3	11	47579079
FAM180B	11	47586442
C1QTNF4	11	47594285
MTCH2	11	47642547
AGBL2	11	47714798
FNBP4	11	47744143
RNA5SP340	11	47804402
YPEL5P2	11	47841324
NUP160	11	47848332
PTPRJ	11	47980653
PTPRJ-AS1	11	48015855
MIR3161	11	48096782
OR4B1	11	48216810
OR4B2P	11	48227429
OR4X2	11	48245104
OR4X1	11	48263861
OR4S1	11	48306223
OR4C3	11	48324920
OR4C4P	11	48352447
OR4C5	11	48366465
OR4C2P	11	48420210
OR4C10P	11	48433147
OR4C9P	11	48464977
OR4R1P	11	48486825
OR4A47	11	48488793
OR4A48P	11	48492026
OR4A46P	11	48496348
OR4A40P	11	48512273
OR4A43P	11	48526064
OR4A45P	11	48579436
OR4A41P	11	48589760
OR4A42P	11	48610063
OR4A44P	11	48627546
ANKRD33BP2	11	48902181
TRIM51CP	11	48945694
TRIM51G	11	48983885
TRIM53CP	11	48991881
TRIM49B	11	49028162
ANKRD33BP3	11	49050159
TRIM64C	11	49059112
UBTFL7	11	49081907
TRIM77BP	11	49124570
UBTFL9	11	49134800
FOLH1	11	49208532
NOX4P1	11	49305714
CBX3P8	11	49406190
TYRL	11	49415789
GRM5P1	11	49560860
TRIM51FP	11	49839320
TRIM51DP	11	49874945
ANKRD33BP5	11	49893777
OR4A1P	11	49899186
OR4A49P	11	49915644
OR4A18P	11	49918478
OR4A19P	11	49921414
OR4R3P	11	49923049
OR4C13	11	49952391
OR4C12	11	49982535
OR4C48P	11	50018798
OR4C45	11	50032874
OR4C49P	11	50054309
GTF2IP11	11	50102898
PHKG1P3	11	50247761
SEPTIN7P11	11	50295334
LINC02750	11	50298588
OR4C50P	11	54591480
OR4C46	11	54603998
OR4C7P	11	54635955
OR4R2P	11	54657716
OR4A4P	11	54659667
OR4A3P	11	54662580
OR4A2P	11	54667298
OR4A8	11	54682877
OR4A7P	11	54692450
OR4A5	11	54706832
OR4A6P	11	54724847
TRIM48	11	55262155
TRIM51HP	11	55298270
OR4A11P	11	55318560
OR4A12P	11	55325756
OR4A16	11	55343201
OR4A15	11	55367974
OR4A9P	11	55388529
OR4X7P	11	55411526
OR4A10P	11	55430478
OR4A17P	11	55444435
OR4A13P	11	55466771
OR4A50P	11	55475943
OR4A21P	11	55491205
OR4C1P	11	55509729
OR4C14P	11	55537002
OR4C15	11	55554388
OR4C16	11	55572128
OR4C11	11	55607645
OR4P4	11	55635113
OR4S2	11	55648327
OR4C6	11	55663669
OR4V1P	11	55673536
OR4P1P	11	55683239
OR5D2P	11	55714799
OR5D3P	11	55723776
OR5D17P	11	55754977
OR5D13	11	55773438
OR5D15P	11	55786964
OR5D14	11	55795556
OR5L1	11	55811367
OR5D18	11	55819630
OR5L2	11	55827219
OR5D16	11	55838752
OR9M1P	11	55855592
ANKRD33BP6	11	55874537
TRIM51	11	55884608
OR5W1P	11	55904278
OR5W2	11	55914582
OR5I1	11	55936400
OR10AF1P	11	55948924
OR10AK1P	11	55957630
OR10AG1	11	55969229
OR7E5P	11	55980103
OR5F1	11	55994625
OR5F2P	11	56015957
OR5AS1	11	56027654
OR5AQ1P	11	56054377
OR5J1P	11	56071111
OR5BE1P	11	56082801
OR8I2	11	56093308
OR8I4P	11	56097384
OR8H2	11	56104352
OR5BN2P	11	56117256
OR8H3	11	56122373
OR5BN1P	11	56133494
OR8J3	11	56140201
OR8K4P	11	56143387
OR8K5	11	56160317
OR5J7P	11	56165500
OR5J2	11	56176618
OR8V1P	11	56189251
NAA50P1	11	56205625
OR8J2	11	56215222
OR5T2	11	56234255
OR5T3	11	56252254
OR5T1	11	56274154
OR8H1	11	56291672
OR8I1P	11	56297471
OR8K3	11	56315144
FAM8A2P	11	56332488
OR8K2P	11	56335142
OR8K1	11	56346039
OR8J1	11	56357253
RPL5P29	11	56357328
OR8U1	11	56375624
OR8L1P	11	56381635
OR5AL2P	11	56393729
OR5AL1	11	56412696
OR8U3	11	56418232
OR5M4P	11	56448668
OR5M9	11	56463401
OR5M3	11	56473352
OR5M2P	11	56480427
OR5M8	11	56491370
OR5M7P	11	56501271
OR5M6P	11	56513171
OR5M5P	11	56527503
OR5M11	11	56543257
OR5M10	11	56577721
OR5M13P	11	56598362
OR5M1	11	56614874
OR5AM1P	11	56620810
OR5M12P	11	56628932
OR5AP1P	11	56634103
OR5AP2	11	56642439
OR5AR1	11	56663686
OR2AH1P	11	56669944
TMEM230P2	11	56690465
OR9G1	11	56699095
OR9G3P	11	56740179
MIR6128	11	56743873
OR9G4	11	56748696
OR9G2P	11	56751902
OR5G1P	11	56776206
OR5G4P	11	56790965
OR5G5P	11	56802794
OR5G3	11	56820516
LINC02735	11	56848523
FADS2B	11	56890613
OR5AK3P	11	56971050
OR5AK2	11	56988914
OR5AK1P	11	57018100
OR5BQ1P	11	57029408
OR5AK4P	11	57037534
OR5AO1P	11	57045091
OR5BP1P	11	57055587
LRRC55	11	57181850
APLNR	11	57237242
TNKS1BP1	11	57324923
SSRP1	11	57335869
P2RX3	11	57338363
PRG3	11	57381150
PRG2	11	57390643
SLC43A3	11	57427115
RNA5SP341	11	57450183
RN7SKP259	11	57451690
RTN4RL2	11	57460857
SLC43A1	11	57514863
RN7SL605P	11	57528365
TIMM10	11	57530754
SMTNL1	11	57537595
UBE2L6	11	57567326
RPS4XP13	11	57577080
SERPING1	11	57597687
MIR130A	11	57641198
MIR130AHG	11	57646886
YPEL4	11	57649909
CLP1	11	57657752
ZDHHC5	11	57668173
MED19	11	57712215
TMX2	11	57712600
PPIAP42	11	57718530
SELENOH	11	57741627
BTBD18	11	57752247
CTNND1	11	57763794
OR5BA1P	11	57867279
OR5AZ1P	11	57918239
OR5BD1P	11	57946414
CYCSP26	11	58005386
RNU6-899P	11	58026812
OR6Q1	11	58030953
VN2R9P	11	58041660
OR9L1P	11	58078603
OR9Q1	11	58101656
OR9I3P	11	58109661
OR9I1	11	58125530
OR9I2P	11	58144495
OR5BL1P	11	58171098
OR9Q2	11	58189070
OR1S2	11	58204142
OR1S1	11	58212720
OR10Q1	11	58228918
EIF4A2P3	11	58243097
OR10W1	11	58268260
OR10Q2P	11	58292765
OR5BC1P	11	58318375
OR5B19P	11	58344664
OR5B10P	11	58349630
OR5B17	11	58359069
OR5B1P	11	58366763
OR5B15P	11	58388486
OR5B3	11	58406874
OR5B2	11	58425717
OR5B12	11	58441204
OR5B21	11	58508105
LPXN	11	58575883
ZFP91	11	58579063
ZFP91-CNTF	11	58594575
CNTF	11	58622665
GLYAT	11	58730328
TMA16P1	11	58796854
GLYATL2	11	58844704
GLYATL1P2	11	58884947
GLYATL1	11	58939488
GLYATL1P1	11	58978787
GLYATL1P4	11	59042737
GLYATL1-AS1	11	59058489
GLYATL1B	11	59086307
FAM111B	11	59107236
FAM111A-DT	11	59142773
FAM111A	11	59142941
DTX4	11	59178696
MPEG1	11	59213200
RN7SL42P	11	59214699
WARS1P1	11	59255360
SLC25A47P1	11	59263802
RN7SL435P	11	59291333
OR5AN2P	11	59310576
OR5BR1P	11	59334086
OR5AN1	11	59361653
OR5BB1P	11	59392292
OR5A2	11	59426412
OR5A1	11	59436469
OR4D6	11	59456961
OR4D10	11	59473315
OR4D8P	11	59491652
OR4D11	11	59503576
OR4D9	11	59511453
OR4D7P	11	59531754
LINC02739	11	59562575
MIR3162	11	59595158
OSBP	11	59615747
PATL1	11	59669035
PATL1-DT	11	59669300
RN7SKP192	11	59706383
OR10V1	11	59713845
OR10Y1P	11	59728519
OR10V3P	11	59741325
OR10V2P	11	59748811
STX3	11	59755382
FABP5P7	11	59781722
MRPL16	11	59810747
CBLIF	11	59841321
TCN1	11	59866471
OOSP3	11	59878782
SRD5A3P1	11	59898185
OOSP1	11	59938432
OOSP4A	11	59964033
OOSP4B	11	60017181
OOSP2	11	60040460
MS4A3	11	60056684
MS4A2	11	60088462
LINC02705	11	60160866
MS4A6A	11	60183075
MIR6503	11	60209156
MS4A4E	11	60230055
MS4A4A	11	60280537
MS4A6E	11	60334831
MS4A7	11	60378532
MS4A14	11	60396466
MS4A5	11	60429632
MS4A1	11	60455856
MS4A12	11	60492778
MS4A13	11	60515413
MS4A19P	11	60577856
LINC00301	11	60623703
MS4A8	11	60699689
MS4A18	11	60724720
MS4A15	11	60756953
MS4A10	11	60785333
CCDC86	11	60844289
CCDC86-AS1	11	60851081
PTGDR2	11	60855950
ZP1	11	60870512
PRPF19	11	60906541
PRPF19-DT	11	60906668
TMEM109-DT	11	60914065
TMEM109	11	60914129
TMEM132A	11	60926376
SLC15A3	11	60951646
CD6	11	60971736
RNU6-933P	11	60985167
LINC02954	11	61055416
CD5	11	61102499
VPS37C	11	61161534
PGA3	11	61206803
PGA4	11	61227110
PGA5	11	61241846
VWCE	11	61295276
DDB1	11	61333058
TKFC	11	61333269
CYB561A3	11	61361878
TMEM138	11	61362395
TMEM216	11	61392607
CPSF7	11	61429941
SDHAF2	11	61430124
RN7SL23P	11	61444149
SAXO4	11	61486120
MIR4488	11	61508596
LRRC10B	11	61508749
SYT7	11	61580872
RPLP0P2	11	61626933
LINC03144	11	61655702
DAGLA	11	61680447
MYRF	11	61752656
MYRF-AS1	11	61757650
MIR611	11	61792561
TMEM258	11	61792601
FEN1	11	61792922
MIR1908	11	61815240
FADS1	11	61816304
FADS2	11	61828262
MIR6746	11	61878278
FADS3	11	61891471
RAB3IL1	11	61917558
RNU6-1243P	11	61937894
BEST1	11	61950356
FTH1	11	61967613
LINC02733	11	62123783
INCENP	11	62124029
EEF1DP8	11	62169293
SCGB1D1	11	62190216
SCGB2A1	11	62208673
SCGB1D2	11	62242239
SCGB2A2	11	62270158
SCGB1D4	11	62299075
NPM1P35	11	62330946
ASRGL1	11	62337495
RCC2P6	11	62371146
SCGB1A1	11	62419033
AHNAK	11	62546241
MIR6747	11	62567071
EEF1G	11	62573873
TUT1	11	62591550
MTA2	11	62600346
ROM1	11	62612412
EML3	11	62612554
B3GAT3	11	62621986
GANAB	11	62646614
INTS5	11	62653302
C11orf98	11	62665191
CSKMT	11	62665312
SNORA57	11	62665422
LBHD1	11	62671633
UQCC3	11	62671634
UBXN1	11	62679075
LRRN4CL	11	62689569
BSCL2	11	62707382
GNG3	11	62707595
HNRNPUL2	11	62727330
HNRNPUL2-BSCL2	11	62727384
TTC9C	11	62728177
ZBTB3	11	62754184
POLR2G	11	62761583
TAF6L	11	62771402
TMEM179B	11	62787415
MIR6748	11	62789815
TMEM223	11	62791997
MIR6514	11	62792771
NXF1	11	62804689
RNU6-118P	11	62816067
STX5	11	62831877
STX5-DT	11	62832244
TEX54	11	62832841
WDR74	11	62839583
RNU2-2	11	62841809
SNORD22	11	62853035
SNORD30	11	62853732
SNORD28	11	62854695
SNORD27	11	62855083
SNORD26	11	62855366
SNORD25	11	62855632
SNHG1	11	62855885
SLC3A2	11	62856136
CHRM1-AS1	11	62909520
CHRM1	11	62921807
RN7SL259P	11	62936234
SLC22A6	11	62984824
SLC22A8	11	63015384
PTTG1P2	11	63033103
TUBAP7	11	63046785
RPL29P22	11	63116338
SLC22A24	11	63144094
SLC22A25	11	63229651
CCND2P1	11	63243085
SLC22A10	11	63289901
SLC22A9	11	63369777
PLAAT5	11	63491139
LGALS12	11	63506087
PLAAT4	11	63536808
PLAAT2	11	63563372
PLAAT3	11	63614436
LNCROPM	11	63616300
IMMP1LP1	11	63632233
ATL3	11	63671746
RTN3	11	63681489
ZFTA	11	63768772
RN7SL596P	11	63798071
SPINDOC	11	63813551
ATP5MGP1	11	63834943
MARK2	11	63849963
RNU6-1306P	11	63882685
RCOR2	11	63917164
NAA40	11	63938999
RNU6-45P	11	63970470
COX8A	11	63974620
OTUB1	11	63986440
FLRT1	11	64103188
MACROD1	11	64166057
STIP1	11	64186202
FERMT3	11	64206752
TRPT1	11	64226204
NUDT22	11	64226300
DNAJC4	11	64230612
VEGFB	11	64234613
FKBP2	11	64241095
PPP1R14B	11	64246559
PPP1R14B-AS1	11	64246872
PLCB3	11	64251538
BAD	11	64284698
GPR137	11	64285486
KCNK4-CATSPERZ	11	64291722
KCNK4	11	64291954
CATSPERZ	11	64300446
ESRRA	11	64305577
TRMT112	11	64317551
PRDX5	11	64318121
MIR7155	11	64341904
CCDC88B	11	64343539
RPS6KA4	11	64359175
MIR1237	11	64368602
LINC02723	11	64396158
LINC02724	11	64449064
SLC22A11	11	64555967
SLC22A12	11	64591220
NRXN2-AS1	11	64646399
NRXN2	11	64690426
RASGRP2	11	64744142
PYGM	11	64754421
SF1-DT	11	64778085
SF1	11	64778504
MAP4K2	11	64803162
MEN1	11	64810550
CDC42BPG	11	64833811
EHD1	11	64879149
MIR192	11	64891246
MIR194-2	11	64891439
MIR194-2HG	11	64893455
MIR6750	11	64898437
MIR6749	11	64902455
ATG2A	11	64917207
PPP2R5B	11	64924239
GPHA2	11	64935882
MAJIN	11	64972053
BATF2	11	64990514
ARL2-SNX15	11	65014182
ARL2	11	65014186
MIR6879	11	65018505
EEF1A1P18	11	65026515
SNX15	11	65027472
SAC3D1	11	65040970
NAALADL1	11	65048032
CDCA5	11	65083938
ZFPL1	11	65084248
TMEM262	11	65089099
VPS51	11	65096616
TM7SF2	11	65111891
ZNHIT2	11	65117687
FAU	11	65122134
MRPL49	11	65122319
MIR6751	11	65129978
SYVN1	11	65134497
HIGD1AP10	11	65145972
RNU2-23P	11	65147584
PDCL2P2	11	65160382
SPDYC	11	65170233
PGAM1P8	11	65175487
CAPN1-AS1	11	65181359
CAPN1	11	65181938
SLC22A20P	11	65213873
POLA2	11	65261962
CDC42EP2	11	65315173
DPF2	11	65333871
TIGD3	11	65355082
SLC25A45	11	65382642
FRMD8	11	65386642
NEAT1	11	65422804
MIR612	11	65444458
FAUP4	11	65455269
ENEMAL	11	65477572
LINC02736	11	65488215
MALAT1	11	65500367
TALAM1	11	65507432
SNRPGP19	11	65514923
SCYL1	11	65525100
LTBP3	11	65550608
ZNRD2-DT	11	65570371
ZNRD2	11	65570485
FAM89B	11	65572538
EHBP1L1	11	65576071
KCNK7	11	65595800
MAP3K11	11	65611301
PCNX3	11	65615785
MIR4690	11	65636310
SIPA1	11	65638152
MIR4489	11	65649192
RELA	11	65662908
RELA-DT	11	65663068
RN7SL309P	11	65695552
KAT5	11	65712424
RNASEH2C	11	65720556
KRT8P26	11	65726939
AP5B1	11	65780963
OVOL1	11	65788596
OVOL1-AS1	11	65790062
SNX32	11	65833961
CFL1	11	65858157
MUS81	11	65861358
EFEMP2	11	65872771
CTSW	11	65879838
FIBP	11	65888471
CCDC85B	11	65890673
FOSL1	11	65900419
C11orf68	11	65918711
DRAP1	11	65919502
TSGA10IP	11	65945650
SART1	11	65961734
EIF1AD	11	66002156
BANF1	11	66002511
CST6	11	66012008
CATSPER1	11	66023846
GAL3ST3	11	66049161
SF3B2	11	66052373
PACS1	11	66225525
KLC2	11	66257767
KLC2-AS1	11	66265666
KLC2-AS2	11	66268129
RAB1B	11	66268619
CNIH2	11	66278289
YIF1A	11	66289082
TMEM151A	11	66291894
CD248	11	66317044
RIN1	11	66336423
BRMS1	11	66345100
B4GAT1	11	66347633
B4GAT1-DT	11	66348082
SLC29A2	11	66371820
BRD9P1	11	66389609
RNU1-84P	11	66393449
NPAS4	11	66421091
MRPL11	11	66438830
PELI3	11	66466925
DPP3-DT	11	66480253
DPP3	11	66480439
BBS1	11	66510651
ZDHHC24	11	66546037
ACTN3	11	66546903
ACTN3-AS1	11	66560384
CTSF	11	66568545
CCDC87	11	66593063
CCS	11	66593204
RNU4-39P	11	66615090
RBM14-RBM4	11	66616630
RBM14	11	66616715
RBM4	11	66638704
RBM4B	11	66677767
RN7SL12P	11	66713009
SPTBN2	11	66727473
TOP6BL	11	66744820
C1QBPP2	11	66762399
FTLP6	11	66771667
RCE1	11	66843510
LRFN4	11	66856855
RNU7-23P	11	66919762
MIR3163	11	66934506
PC	11	66956833
C11orf86	11	66975290
SYT12	11	67022908
MIR6860	11	67045643
RHOD	11	67056847
KDM2A	11	67211756
GRK2	11	67266485
ANKRD13D	11	67290389
SSH3	11	67303543
POLD4	11	67353540
RN7SKP239	11	67362414
CLCF1	11	67373887
RAD9A	11	67391979
RNU6-1238P	11	67395311
PPP1CA	11	67401849
TBC1D10C	11	67403938
CARNS1	11	67415678
RPS6KB2	11	67428499
RPS6KB2-AS1	11	67435399
PTPRCAP	11	67437682
CORO1B	11	67443486
CABP4	11	67452436
GPR152	11	67452729
TMEM134	11	67469237
AIP	11	67483128
MIR6752	11	67490245
PITPNM1	11	67505325
CDK2AP2	11	67508162
CABP2	11	67523530
GSTP1	11	67583813
NDUFV1-DT	11	67606706
NDUFV1	11	67606940
DOC2GP	11	67616257
NUDT8	11	67629923
TBX10	11	67639763
ACY3	11	67650724
ALDH3B2	11	67674623
RPL37P2	11	67683058
UNC93B5	11	67716005
OR7E145P	11	67723455
OR7E11P	11	67736559
EVA1CP4	11	67756968
ALG1L8P	11	67785273
FAM86C2P	11	67805313
ENPP7P7	11	67873367
LINC02754	11	67886422
RNU6-46P	11	67895631
RPS3AP40	11	67926431
VPS51P17	11	67966227
OR7E1P	11	67975243
UNC93B1	11	68004081
ALDH3B1	11	68014589
GLTC1	11	68030428
NDUFS8	11	68030726
MIR7113	11	68032864
MIR4691	11	68033897
TCIRG1	11	68043467
MIR6753	11	68044794
CHKA	11	68121106
CHKA-DT	11	68121625
KMT5B	11	68213327
C11orf24	11	68271951
LRP5	11	68312653
PPP6R3	11	68460754
NDUFA3P2	11	68488840
GAL	11	68684497
TESMIN	11	68750726
CPT1A	11	68840761
LINC02701	11	68870664
MRPL21	11	68903826
IGHMBP2	11	68915919
MRGPRD	11	68980986
MRGPRF	11	69011133
MRGPRF-AS1	11	69012622
TPCN2	11	69048934
MIR3164	11	69083176
SMIM38	11	69155743
MYEOV	11	69294157
IFITM9P	11	69303807
LINC02956	11	69414307
LINC02953	11	69425655
LINC02952	11	69444734
LINC02747	11	69479957
LINC01488	11	69481690
PNCRNA-D	11	69639134
CCND1	11	69641206
LTO1	11	69675308
FGF19	11	69704341
DNAJB6P5	11	69738017
FGF4	11	69775252
FGF3	11	69818483
LINC02753	11	70064647
RNU6-1175P	11	70075363
LINC02584	11	70085311
ANO1	11	70085422
ANO1-AS1	11	70188509
FADD	11	70203295
H2AZP4	11	70279297
MIR548K	11	70283955
PPFIA1	11	70329893
CTTN-DT	11	70398426
CTTN	11	70398568
SHANK2-AS1	11	70631094
SHANK2	11	70826757
SHANK2-AS3	11	70862790
MIR3664	11	70872368
ACTE1P	11	71407772
DHCR7	11	71448358
DHCR7-DT	11	71448542
MIR6754	11	71473503
NADSYN1	11	71473663
KRTAP5-7	11	71527267
KRTAP5-8	11	71538025
KRTAP5-9	11	71548420
KRTAP5-10	11	71565563
KRTAP5-13P	11	71568680
KRTAP5-14P	11	71579848
KRTAP5-11	11	71593114
OR7E87P	11	71593454
UNC93B6	11	71603261
OR7E4P	11	71620020
VPS51P11	11	71629045
RPS3AP41	11	71669520
SNRPCP14	11	71690657
ENPP7P8	11	71722052
FAM86C1P	11	71787537
ALG1L9P	11	71804640
ZNF705EP	11	71821548
DEFB108B	11	71833956
RNA5SP342	11	71845245
DEFB130C	11	71856277
DEFB131B	11	71878453
OR7E128P	11	71893410
OR7E126P	11	71903194
XNDC1N	11	71928442
XNDC1N-ZNF705EP-ALG1L9P	11	71928454
RNF121	11	71929045
IL18BP	11	71998918
NUMA1-AS1	11	72014291
RNU6-72P	11	72047951
NUMA1	11	72070063
MIR3165	11	72072302
LRTOMT	11	72080811
LRRC51	11	72080819
LAMTOR1	11	72103261
TOMT	11	72104715
ANAPC15	11	72112519
RPEP6	11	72131282
FOLR3	11	72135710
FOLR1P1	11	72158822
FOLR1	11	72189816
FOLR2	11	72216794
INPPL1	11	72224374
PHOX2A	11	72244176
CLPB	11	72434526
ART2BP	11	72478221
ART2P	11	72519986
LINC01537	11	72570645
PDE2A-AS2	11	72584509
MIR139	11	72615130
RNU7-105P	11	72621766
PDE2A	11	72642428
PDE2A-AS1	11	72643237
ARAP1-AS1	11	72685075
ARAP1-AS2	11	72700474
RPS12P20	11	72708186
ARAP1	11	72722028
STARD10	11	72782371
MIR4692	11	72783530
ATG16L2	11	72815887
RNU6-672P	11	72869650
RPL15P16	11	72940498
FCHSD2	11	73142244
IUR1	11	73182923
P2RY2	11	73218283
OR8R1P	11	73248779
P2RY6	11	73270051
ARHGEF17-AS1	11	73309379
ARHGEF17	11	73342960
RELT	11	73376427
HMGN2P38	11	73580253
FAM168A	11	73598098
PLEKHB1	11	73647701
RAB6A	11	73761075
MRPL48	11	73787897
RN7SKP243	11	73832690
MIX23P5	11	73851211
COA4	11	73876861
PAAF1	11	73877007
ARPC3P4	11	73922196
DNAJB13	11	73964828
UCP2	11	73982830
DPPA4P3	11	73992180
UCP3	11	74007304
C2CD3	11	74170865
PPME1	11	74171322
RNA5SP343	11	74198854
P4HA3-AS1	11	74311362
P4HA3	11	74311624
HNRNPA1P40	11	74354443
PGM2L1	11	74398458
MIR548AL	11	74399237
KCNE3	11	74467495
CYCSP27	11	74482250
LIPT2-AS1	11	74493366
LIPT2	11	74493647
POLD3	11	74592625
RANP3	11	74652636
RN7SKP297	11	74685224
MIR4696	11	74720337
CHRDL2	11	74731153
RPL36AP38	11	74738796
RNF169	11	74748851
RN7SL239P	11	74845910
RPL31P46	11	74919587
XRRA1	11	74949085
SPCS2	11	74949269
RNU6-216P	11	74968292
NEU3	11	74988929
OR2AT2P	11	75072052
NPM1P50	11	75080131
OR2AT4	11	75093315
OR2AT1P	11	75131880
SLCO2B1	11	75151213
TPBGL-AS1	11	75215485
ZDHHC20P3	11	75228657
TPBGL	11	75240774
MIR326	11	75335186
ARRB1	11	75351638
RPS3	11	75399526
SNORD15A	11	75400391
SNORD15B	11	75404421
KLHL35	11	75430126
GDPD5	11	75525424
SERPINH1	11	75562368
MAP6-AS1	11	75583034
MAP6	11	75668657
MOGAT2	11	75717867
RN7SL786P	11	75742129
DGAT2-DT	11	75764063
DGAT2	11	75768778
UVRAG-DT	11	75814797
PPP1R1AP1	11	75911628
UVRAG	11	75911979
RNA5SP344	11	75934936
WNT11	11	76209648
LINC02761	11	76236712
THAP12	11	76380901
GVQW3	11	76381324
EMSY-DT	11	76444686
EMSY	11	76445038
LINC02757	11	76630422
LRRC32-AS1	11	76657039
LRRC32	11	76670120
GUCY2EP	11	76719801
TSKU-AS1	11	76783114
TSKU	11	76783823
ACER3	11	76860937
ACER3-AS1	11	77007151
B3GNT6	11	77035448
CAPN5	11	77066993
OMP	11	77102840
MYO7A	11	77170406
GDPD4	11	77301657
TOMM20P1	11	77313606
PAK1	11	77411990
RNU7-59P	11	77566994
AQP11	11	77589656
CLNS1A	11	77637775
RSF1-IT2	11	77718411
FTH1P16	11	77735026
RSF1-IT1	11	77739568
RSF1	11	77745185
AAMDC	11	77821148
RPL21P95	11	77869195
INTS4	11	77994653
KCTD14-AS2	11	78015715
KCTD14	11	78034733
THRSP	11	78063861
NDUFC2-KCTD14	11	78079844
NDUFC2	11	78079861
RNU6-126P	11	78133522
ALG8	11	78139610
KCTD21-AS1	11	78139774
KCTD21	11	78188608
USP35	11	78188929
ZNF75CP	11	78384208
GAB2	11	78417779
LINC02728	11	78428901
NARS2-AS1	11	78533176
NARS2	11	78574827
RNU6-311P	11	78579356
COPS8P3	11	78581675
TENM4	11	79076393
TENM4-AS1	11	79093286
MIR708	11	79402109
MIR5579	11	79422226
RNU6-544P	11	80527960
ARL6IP1P3	11	80653988
LINC02720	11	80762832
COX6A1P4	11	80957317
